email,See your primary Google Account email address
https://mail.google.com/,Read, compose, send, and permanently delete all your email from Gmail
https://www.google.com/calendar/feeds,See, edit, share, and permanently delete all the calendars you can access using Google Calendar
https://www.google.com/m8/feeds,See, edit, download, and permanently delete your contacts
https://www.googleapis.com/auth/adexchange.buyer,Manage your Ad Exchange buyer account configuration
https://www.googleapis.com/auth/admin.chrome.printers,See, add, edit, and permanently delete the printers that your organization can use with Chrome
https://www.googleapis.com/auth/admin.chrome.printers.readonly,See the printers that your organization can use with Chrome
https://www.googleapis.com/auth/admin.datatransfer,View and manage data transfers between users in your organization
https://www.googleapis.com/auth/admin.datatransfer.readonly,View data transfers between users in your organization
https://www.googleapis.com/auth/admin.directory.customer,View and manage customer related information
https://www.googleapis.com/auth/admin.directory.customer.readonly,View customer related information
https://www.googleapis.com/auth/admin.directory.device.chromeos,View and manage your Chrome OS devices&#39; metadata
https://www.googleapis.com/auth/admin.directory.device.chromeos.readonly,View your Chrome OS devices&#39; metadata
https://www.googleapis.com/auth/admin.directory.device.mobile,View and manage your mobile devices&#39; metadata
https://www.googleapis.com/auth/admin.directory.device.mobile.action,Manage your mobile devices by performing administrative tasks
https://www.googleapis.com/auth/admin.directory.device.mobile.readonly,View your mobile devices&#39; metadata
https://www.googleapis.com/auth/admin.directory.domain,View and manage the provisioning of domains for your customers
https://www.googleapis.com/auth/admin.directory.domain.readonly,View domains related to your customers
https://www.googleapis.com/auth/admin.directory.group,View and manage the provisioning of groups on your domain
https://www.googleapis.com/auth/admin.directory.group.member,View and manage group subscriptions on your domain
https://www.googleapis.com/auth/admin.directory.group.member.readonly,View group subscriptions on your domain
https://www.googleapis.com/auth/admin.directory.group.readonly,View groups on your domain
https://www.googleapis.com/auth/admin.directory.orgunit,View and manage organization units on your domain
https://www.googleapis.com/auth/admin.directory.orgunit.readonly,View organization units on your domain
https://www.googleapis.com/auth/admin.directory.resource.calendar,View and manage the provisioning of calendar resources on your domain
https://www.googleapis.com/auth/admin.directory.resource.calendar.readonly,View calendar resources on your domain
https://www.googleapis.com/auth/admin.directory.rolemanagement,Manage delegated admin roles for your domain
https://www.googleapis.com/auth/admin.directory.rolemanagement.readonly,View delegated admin roles for your domain
https://www.googleapis.com/auth/admin.directory.user,View and manage the provisioning of users on your domain
https://www.googleapis.com/auth/admin.directory.user.alias,View and manage user aliases on your domain
https://www.googleapis.com/auth/admin.directory.user.alias.readonly,View user aliases on your domain
https://www.googleapis.com/auth/admin.directory.user.readonly,See info about users on your domain
https://www.googleapis.com/auth/admin.directory.user.security,Manage data access permissions for users on your domain
https://www.googleapis.com/auth/admin.directory.userschema,View and manage the provisioning of user schemas on your domain
https://www.googleapis.com/auth/admin.directory.userschema.readonly,View user schemas on your domain
https://www.googleapis.com/auth/admin.reports.audit.readonly,View audit reports for your G Suite domain
https://www.googleapis.com/auth/admin.reports.usage.readonly,View usage reports for your G Suite domain
https://www.googleapis.com/auth/admob.readonly,See your AdMob data
https://www.googleapis.com/auth/admob.report,See your AdMob data
https://www.googleapis.com/auth/adsensehost,View and manage your AdSense host data and associated accounts
https://www.googleapis.com/auth/analytics,View and manage your Google Analytics data
https://www.googleapis.com/auth/analytics.edit,Edit Google Analytics management entities
https://www.googleapis.com/auth/analytics.manage.users,Manage Google Analytics Account users by email address
